codigo,descripcion
A42,Pregunta A42.1.21 ¿En qué año(s)? - 2018
A42,Pregunta A42.2.21 ¿En qué año(s)? - 2019
A42,Pregunta A42.3.21 ¿En qué año(s)? - 2020
A42,Pregunta A42.4.21 ¿En qué año(s)? - 2021
A43,"Pregunta A43.21 ¿Ocurrió algún desastre, como un huracán, terremoto, tornado, inundación, incendio, que afectó su vivienda?"
A43,Pregunta A43.1.21 ¿En qué año(s)? - 2018
A43,Pregunta A43.2.21 ¿En qué año(s)? - 2019
A43,Pregunta A43.3.21 ¿En qué año(s)? - 2020
A43,Pregunta A43.4.21 ¿En qué año(s)? - 2021
A44,"Pregunta A44.21 ¿Sufrió algún accidente, fue víctima de un crimen, o algún otro evento que afectó su salud o situación familiar?"
A44,Pregunta A44.1.21 ¿En qué año(s)? - 2018
A44,Pregunta A44.2.21 ¿En qué año(s)? - 2019
A44,Pregunta A44.3.21 ¿En qué año(s)? - 2020
A44,Pregunta A44.4.21 ¿En qué año(s)? - 2021
A45,"Pregunta A45.21 ¿Tuvo alguna pérdida, como por salud o su empleo o el de sus hijos o cónyuge, que afectó su situación financiera?"
A45A,Pregunta A45A.21 ¿Ocurrió esto a causa del COVID-19?
A45,Pregunta A45.1.21 ¿En qué año(s)? - 2018
A45,Pregunta A45.2.21 ¿En qué año(s)? - 2019
A45,Pregunta A45.3.21 ¿En qué año(s)? - 2020
A45,Pregunta A45.4.21 ¿En qué año(s)? - 2021
A1,Pregunta AA1.21 Entrevistador: registra si el informante es:
A2,"Pregunta AA2.1.21 ¿En qué día, mes y año nació usted? - DÍA"
A2,"Pregunta AA2.2.21 ¿En qué día, mes y año nació usted? - MES"
A2,"Pregunta AA2.3.21 ¿En qué día, mes y año nació usted? - AÑO"
A4A1,Pregunta AA4A1.21 ¿Cuál es el último año o grado que usted aprobó en la escuela? - NIVEL
A4A2,Pregunta AA4A2.21 ¿Cuál es el último año o grado que usted aprobó en la escuela? - GRADO
A4B,Pregunta AA4B.21 ¿Sabe leer y escribir un recado?
A5,Pregunta AA5.21 ¿Sabe contar del 1 al 10?
A6,"Pregunta AA6.21 (Antes de cumplir 10 años), ¿alguna vez vivió en la misma casa o barrio con su abuela(o) por más de 6 meses?"
A7,"Pregunta AA7.21 (Antes de cumplir 10 años), ¿tuvo usted un problema serio de salud que afectó sus actividades normales por un mes o más?"
A8A1,"Pregunta AA8A1.21 Antes de cumplir 10 años), ¿tuvo usted alguna de las siguientes enfermedades o padecimientos? - Fiebre Tifoidea"
A8A2,"Pregunta AA8A2.21 (Antes de cumplir 10 años), ¿tuvo usted alguna de las siguientes enfermedades o padecimientos? - Golpe serio en la cabeza de tal forma que se desmayó"
A8A3,"Pregunta AA8A3.21 (Antes de cumplir 10 años), ¿tuvo usted alguna de las siguientes enfermedades o padecimientos? - Tuberculosis"
A8A4,"Pregunta AA8A4.21 (Antes de cumplir 10 años), ¿tuvo usted alguna de las siguientes enfermedades o padecimientos? - Fiebre Reumática"
A8A5,"Pregunta AA8A5.21 (Antes de cumplir 10 años), ¿tuvo usted alguna de las siguientes enfermedades o padecimientos? - Polio"
A8B,"Pregunta AA8B.21 (Antes de cumplir 10 años), la mayor parte del tiempo ¿qué tipo de trabajo realizó su padre o tutor?"
A8B,"Pregunta AA8B.A.21 (Antes de cumplir 10 años), la mayor parte del tiempo ¿qué tipo de trabajo realizó su padre o tutor? - ESPECIFICA"
A8C,"Pregunta AA8C.21 (Antes de cumplir 10 años), ¿comparado con otros niños de su edad, cómo era su salud?"
A9A,Pregunta AA9A.21 Antes de cumplir 10 años: ¿Su vivienda tenía excusado dentro de la vivienda?
A9B,Pregunta AA9B.21 Antes de cumplir 10 años: ¿Su vivienda tenía electricidad?
A9C,Pregunta AA9C.21 Antes de cumplir 10 años: ¿Se dormía generalmente con hambre?
A9D,Pregunta AA9D.21 Antes de cumplir 10 años: ¿Usaba zapatos o algún otro tipo de calzado regularmente?
A9E,Pregunta AA9E.21 Antes de cumplir 10 años: ¿Usted o alguno de sus hermanos tuvo que dejar la escuela para ayudar a sus padres?
A9F,Pregunta AA9F.21 Antes de cumplir 10 años: ¿Usted o algún miembro de su familia dormía en el mismo cuarto que se usaba para cocinar?
A9G,Pregunta AA9G.21 Antes de cumplir 10 años: ¿Usted o su familia recibieron ayuda de familiares debido a problemas económicos?
A9H,Pregunta AA9H.21 Antes de cumplir 10 años: ¿Alguno de sus padres o tutores fumaba?
A9I,Pregunta AA9I.21 Antes de cumplir 10 años: ¿Alguien más en su hogar fumaba?
A10,Pregunta AA10.21 ¿Actualmente usted...?
A11,Pregunta AA11.1.21 ¿En qué año o a qué edad terminó su último(a) matrimonio (unión)? - AÑO
A11,Pregunta AA11.2.21 ¿En qué año o a qué edad terminó su último(a) matrimonio (unión)? - EDAD
A12,Pregunta AA12.1.21 ¿En qué año o a qué edad comenzó ese matrimonio (unión)? - AÑO
A12,Pregunta AA12.2.21 ¿En qué año o a qué edad comenzó ese matrimonio (unión)? - EDAD
A13A,Pregunta AA13A.21 ¿Antes de su (matrimonio actual/último matrimonio/unión actual/última unión) tuvo usted otra unión o matrimonio?
A13B,Pregunta AA13B.21 ¿Cuál era su estado conyugal antes de su unión actual...?
A13C,Pregunta AA13C.21 ¿Este matrimonio (unión) se terminó por...?
A14,"Pregunta AA14.21 Sin contar la unión actual (última unión), ¿cuántas veces estuvo usted unido(a) o casado(a)?"
A15,Pregunta AA15.1.21 ¿En qué año o a qué edad comenzó su primera unión o matrimonio? - AÑO
A15,Pregunta AA15.2.21 ¿En qué año o a qué edad comenzó su primera unión o matrimonio? - EDAD
A16,Pregunta AA16.21 ¿Ésta fue...?
A17,Pregunta AA17.21 ¿Este(a) matrimonio(unión) se terminó por...?
A18,Pregunta AA18.1.21 ¿En qué año o a qué edad terminó este(a) matrimonio (unión)? - AÑO
A18,Pregunta AA18.2.21 ¿En qué año o a qué edad terminó este(a) matrimonio (unión)? - EDAD
A19,Pregunta AA19.21 ¿Cuántos hijos e hijas que nacieron vivos ha tenido usted?
A20,"Pregunta AA20.21 De los hijos e hijas que nacieron vivos, ¿cuántos viven todavía?"
A21,Pregunta AA21.21 ¿Como cuántos años ha vivido en esta localidad o siempre ha vivido aquí?
A25,"Pregunta AA25.21 Sin contar vacaciones o visitas cortas, ¿alguna vez ha trabajado o vivido usted en Estados Unidos?"
A26,"Pregunta AA26.1.21 Piense por favor en la primera estadía en Estados Unidos, aproximadamente ¿en qué año o a qué edad se fue a Estados Unidos? - AÑO"
A26,"Pregunta AA26.2.21 Piense por favor en la primera estadía en Estados Unidos, aproximadamente ¿en qué año o a qué edad se fue a Estados Unidos? - EDAD"
A27,Pregunta AA27.21 ¿Cuál diría usted que fue la razón principal por la que fue a Estados Unidos?
A28,"Pregunta AA28.21 Para esa primera estadía en Estados Unidos, cuando usted salió de la república mexicana, ¿conocía a alguien que le ayudaría a establecerse en el lugar a donde fue?"
A30,Pregunta AA30.1.21 Aproximadamente ¿en qué año o a qué edad regresó de Estados Unidos en esa ocasión? - AÑO
A30,Pregunta AA30.2.21 Aproximadamente ¿en qué año o a qué edad regresó de Estados Unidos en esa ocasión? - EDAD
A31B,"Pregunta AA31B.21 En total, ¿como cuántos años ha trabajado o vivido usted en Estados Unidos?"
A31C,"Pregunta AA31C.21 Piense por favor en la estadía más larga en Estados Unidos, la mayor parte del tiempo, ¿qué tipo de trabajo realizó usted?"
A31C,"Pregunta AA31C.A.21 Piense por favor en la estadía más larga en Estados Unidos, la mayor parte del tiempo, ¿qué tipo de trabajo realizó usted? - ESPECIFICA"
A31D,"Pregunta AA31D.21 Para esa estadía en Estados Unidos, ¿generalmente usted enviaba dinero a su familia en México?"
A31H1,Pregunta AA31H1.21 ¿Su intención era que ese dinero se usara como ahorro para cuando regresara a México?
A31H2,Pregunta AA31H2.21 ¿Su intención era que ese dinero se usara para mantener a su familia?
A31H3,Pregunta AA31H3.21 ¿Su intención era que ese dinero se usara para mejorar su propiedad en México?
A31H4,Pregunta AA31H4.21 ¿Su intención era que ese dinero se usara para comprar muebles u otras cosas caras en la casa?
A31H5,Pregunta AA31H5.21 ¿Su intención era que ese dinero se usara...? - OTRO
A31H6,Pregunta AA31H6.21 ¿Su intención era que ese dinero se usara para ayudar a sus familiares por la situación de la pandemia de COVID-19?
A31H8,Pregunta AA31H8.21 ¿Su intención era que ese dinero se usara...? - NO RESPONDE
A31H9,Pregunta AA31H9.21 ¿Su intención era que ese dinero se usara...? - NO SABE
A32A,"Pregunta AA32A.21 Ahora piense acerca de la última vez que fue a trabajar o a vivir en Estados Unidos, ¿cuál diría usted que fue la razón principal por la que fue?"
A32B1,"Pregunta AA32B1.21 Por favor piense acerca de la última vez que regresó de Estados Unidos después de que vivió allá, ¿en qué año o qué edad tenía usted cuando regresó? - AÑO"
A32B2,"Pregunta AA32B2.21 Por favor piense acerca de la última vez que regresó de Estados Unidos después de que vivió allá, ¿en qué año o qué edad tenía usted cuando regresó? - EDAD"
A32C01,"Pregunta AA32C01.21 Ahora piense acerca de la última vez que regresó de Estados Unidos a México, ¿se regresó porque usted estaba enfermo?"
A32C02,"Pregunta AA32C02.21 Ahora piense acerca de la última vez que regresó de Estados Unidos a México, ¿se regresó porque usted extrañaba a su familia?"
A32C03,"Pregunta AA32C03.21 Ahora piense acerca de la última vez que regresó de Estados Unidos a México, ¿se regresó porque le fue difícil permanecer en Estados Unidos?"
A32C04,"Pregunta AA32C04.21 Ahora piense acerca de la última vez que regresó de Estados Unidos a México, ¿se regresó porque era muy caro quedarse en Estados Unidos?"
A32C05,"Pregunta AA32C05.21 Ahora piense acerca de la última vez que regresó de Estados Unidos a México, ¿se regresó porque no ganaba suficiente allá?"
A32C06,"Pregunta AA32C06.21 Ahora piense acerca de la última vez que regresó de Estados Unidos a México, ¿se regresó porque tuvo problemas relacionados con migración?"
A32C07,"Pregunta AA32C07.21 Ahora piense acerca de la última vez que regresó de Estados Unidos a México, ¿se regresó porque tuvo problemas familiares en México?"
A32C08,"Pregunta AA32C08.21 Ahora piense acerca de la última vez que regresó de Estados Unidos a México, ¿se regresó porque...? - OTRA"
A32C09,"Pregunta AA32C09.21 Ahora piense acerca de la última vez que regresó de Estados Unidos a México, ¿se regresó porque su situación económica o laboral se vio afectada debido a la pandemia de COVID-19?"
A32C88,"Pregunta AA32C88.21 Ahora piense acerca de la última vez que regresó de Estados Unidos a México, ¿se regresó porque...? - NO RESPONDE"
A32C99,"Pregunta AA32C99.21 Ahora piense acerca de la última vez que regresó de Estados Unidos a México, ¿se regresó porque...? - NO SABE"
A32D,Pregunta AA32D.21  Registra si marcó más de una razón en AA.32c
A32E,Pregunta AA32E.21 ¿Cuál diría usted que fue la razón principal por la que regresó?
A32F,"Pregunta AA32F.21 La última vez que regresó de Estados Unidos a México, ¿diría usted que su salud era...?"
A33,"Pregunta AA33.21 Durante el tiempo que estuvo en Estados Unidos, ¿alguna vez se contribuyó al sistema de seguridad social (social security) en algún trabajo, con su nombre o el de otra persona?"
A34,Pregunta AA34.21 Actualmente ¿cuenta usted con permiso de residencia permanente o es ciudadano de Estados Unidos?
A35,Pregunta AA35.21 ¿Alguna vez tuvo que criar a sus hijos pequeños sin que estuviera con usted su cónyuge?
A36,"Pregunta AA36.21 En total, ¿como por cuánto tiempo los crio sin su cónyuge?"
A37A,Pregunta AA37A.21 ¿Habla usted inglés?
A37B,Pregunta AA37B.21 ¿Habla usted alguna lengua indígena?
A38A,Pregunta AA38A.21 ¿Asiste usted a servicios religiosos?
A38B,Pregunta AA38B.21 ¿Con qué frecuencia participa usted en las actividades organizadas por la iglesia?
A39,Pregunta AA39.21 ¿Qué tan importante es la religión en su vida? ¿Diría que es...?
A40,"Pregunta AA40.21 En los últimos 2 años, ¿ha hecho algún trabajo voluntario para organizaciones religiosas, educativas, de caridad o para la comunidad?"
A41,"Pregunta AA41.1.21 En los últimos 2 años, ¿como cuántas horas le dedicó usted a ese trabajo voluntario? - HORAS"
A41,"Pregunta AA41.2.21 En los últimos 2 años, ¿como cuántas horas le dedicó usted a ese trabajo voluntario? - PERIODO"
A42,Pregunta AA42.21 ¿Diría usted que fueron...?
A43,"Pregunta AA43.21 A continuación, le voy a mostrar unas figuras de cuerpo"
A43A,Pregunta AA43A.21 ¿Qué figura considera que se parece a usted en este momento?
A43B,"Pregunta AA43B.21 Ahora piense por favor cuando usted tenía 50 años, ¿qué figura considera que se parece más a usted a esa edad?"
A43C,"Pregunta AA43C.21 Ahora piense por favor cuando usted tenía 20 años, ¿qué figura considera que se parece más a usted a esa edad?"
A44A,Pregunta AA44A.21 ¿Falleció alguno de sus hijos(as)?
A44B,Pregunta AA44B.21 ¿Ocurrió esto a causa del COVID-19?
A44A,Pregunta AA44A.1.21 ¿En qué año(s)? - 2011
A44A,Pregunta AA44A.2.21 ¿En qué año(s)? - 2012
A44A,Pregunta AA44A.3.21 ¿En qué año(s)? - 2013
A44A,Pregunta AA44A.4.21 ¿En qué año(s)? - 2014
A44A,Pregunta AA44A.5.21 ¿En qué año(s)? - 2015
A44A,Pregunta AA44A.6.21 ¿En qué año(s)? - 2016
A44A,Pregunta AA44A.7.21 ¿En qué año(s)? - 2017
A44A,Pregunta AA44A.8.21 ¿En qué año(s)? - 2018
A44A,Pregunta AA44A.9.21 ¿En qué año(s)? - 2019
A44A,Pregunta AA44A.10.21 ¿En qué año(s)? - 2020
A44A,Pregunta AA44A.11.21 ¿En qué año(s)? - 2021
A44C,Pregunta AA44C.21 ¿Se hizo cargo de cuidar a algún familiar enfermo?
A44D,Pregunta AA44D.21 ¿Ocurrió esto a causa del COVID-19?
A44C,Pregunta AA44C.1.21 ¿En qué año(s)? - 2011
A44C,Pregunta AA44C.2.21 ¿En qué año(s)? - 2012
A44C,Pregunta AA44C.3.21 ¿En qué año(s)? - 2013
A44C,Pregunta AA44C.4.21 ¿En qué año(s)? - 2014
A44C,Pregunta AA44C.5.21 ¿En qué año(s)? - 2015
A44C,Pregunta AA44C.6.21 ¿En qué año(s)? - 2016
A44C,Pregunta AA44C.7.21 ¿En qué año(s)? - 2017
A44C,Pregunta AA44C.8.21 ¿En qué año(s)? - 2018
A44C,Pregunta AA44C.9.21 ¿En qué año(s)? - 2019
A44C,Pregunta AA44C.10.21 ¿En qué año(s)? - 2020
A44C,Pregunta AA44C.11.21 ¿En qué año(s)? - 2021
A45,"Pregunta AA45.21 ¿Ocurrió algún desastre, como un huracán, terremoto, tornado, inundación, incendio, que afectó su vivienda?"
A45,Pregunta AA45.1.21 ¿En qué año(s)? - 2011
A45,Pregunta AA45.2.21 ¿En qué año(s)? - 2012
A45,Pregunta AA45.3.21 ¿En qué año(s)?-  2013
A45,Pregunta AA45.4.21 ¿En qué año(s)? - 2014
A45,Pregunta AA45.5.21 ¿En qué año(s)?-  2015
A45,Pregunta AA45.6.21 ¿En qué año(s)? - 2016
A45,Pregunta AA45.7.21 ¿En qué año(s)? - 2017
A45,Pregunta AA45.8.21 ¿En qué año(s)? - 2018
A45,Pregunta AA45.9.21 ¿En qué año(s)? - 2019
A45,Pregunta AA45.10.21 ¿En qué año(s)? - 2020
A45,Pregunta AA45.11.21 ¿En qué año(s)? - 2021
A46,"Pregunta AA46.21 ¿Sufrió algún accidente, fue víctima de un crimen, o algún otro evento que afectó su salud o situación familiar?"
A46,Pregunta AA46.1.21 ¿En qué año(s)? - 2011
A46,Pregunta AA46.2.21 ¿En qué año(s)? - 2012
A46,Pregunta AA46.3.21 ¿En qué año(s)? - 2013
A46,Pregunta AA46.4.21 ¿En qué año(s)? - 2014
A46,Pregunta AA46.5.21 ¿En qué año(s)? - 2015
A46,Pregunta AA46.6.21 ¿En qué año(s)? - 2016
A46,Pregunta AA46.7.21 ¿En qué año(s)? - 2017
A46,Pregunta AA46.8.21 ¿En qué año(s)? - 2018
A46,Pregunta AA46.9.21 ¿En qué año(s)? - 2019
A46,Pregunta AA46.10.21 ¿En qué año(s)? - 2020
A46,Pregunta AA46.11.21 ¿En qué año(s)? - 2021
A47,"Pregunta AA47.21 ¿Tuvo alguna pérdida, como por salud o su empleo o el de sus hijos o cónyuge, que afectó su situación financiera?"
A47A,Pregunta AA47A.21 ¿Ocurrió esto a causa del COVID-19?
A47,Pregunta AA47.1.21 ¿En qué año(s)? - 2011
A47,Pregunta AA47.2.21 ¿En qué año(s)? - 2012
A47,Pregunta AA47.3.21 ¿En qué año(s)? - 2013
A47,Pregunta AA47.4.21 ¿En qué año(s)? - 2014
A47,Pregunta AA47.5.21 ¿En qué año(s)? - 2015
A47,Pregunta AA47.6.21 ¿En qué año(s)? - 2016
A47,Pregunta AA47.7.21 ¿En qué año(s)? - 2017
A47,Pregunta AA47.8.21 ¿En qué año(s)? - 2018
A47,Pregunta AA47.9.21 ¿En qué año(s)? - 2019
A47,Pregunta AA47.10.21 ¿En qué año(s)? - 2020
A47,Pregunta AA47.11.21 ¿En qué año(s)? - 2021
C1,"Pregunta C1.21 Ahora tengo algunas preguntas sobre su salud, ¿diría usted que su salud es...?"
C2A,"Pregunta C2A.21 Comparando su salud con la de hace dos años, ¿diría usted que su salud ahora está...?"
C3A,"Pregunta C3A.21 Comparado con otras personas de su edad, ¿diría usted que actualmente su salud es...?"
C3B,"Pregunta C3B.21 Durante los dos últimos años, ¿le ha atendido un doctor o personal médico?"
C4,Pregunta C4.21 ¿Alguna vez le ha dicho un doctor o personal médico que usted tiene hipertensión o presión alta?
C5,Pregunta C5.21 ¿Está usted tomando ahora algún medicamento para bajar la presión?
C6,Pregunta C6.21 ¿Alguna vez le ha dicho un doctor o personal médico que usted tiene diabetes?
C7,Pregunta C7.21 ¿Está usted tomando ahora alguna medicina oralmente para controlar su diabetes?
C8,Pregunta C8.21 ¿Está usted usando ahora inyecciones o bomba de insulina?
C9,Pregunta C9.21 ¿Sigue una dieta especial para controlar su diabetes?
C10,Pregunta C10.21 ¿En general ahora está su diabetes bajo control?
C11,Pregunta C11.1.21 ¿Con qué frecuencia se le mide el nivel de azúcar en la sangre o en la orina? - VECES
C11,Pregunta C11.2.21 ¿Con qué frecuencia se le mide el nivel de azúcar en la sangre o en la orina? - PERIODO
C12,Pregunta C12.21 ¿Alguna vez le ha dicho un doctor o personal médico que usted tiene cáncer?
C13,"Pregunta C13.21 En total, ¿cuántos cánceres en distintos lugares u órganos ha tenido usted?"
C14,Pregunta C14.01.21 ¿Qué tipo de cáncer? - Mama
C14,Pregunta C14.02.21 ¿Qué tipo de cáncer? - Cervical/cérvix
C14,Pregunta C14.03.21 ¿Qué tipo de cáncer? - Endometrio/útero
C14,Pregunta C14.04.21 ¿Qué tipo de cáncer? - Hígado
C14,Pregunta C14.05.21 ¿Qué tipo de cáncer? - Estómago
C14,Pregunta C14.06.21 ¿Qué tipo de cáncer? - Páncreas
C14,Pregunta C14.07.21 ¿Qué tipo de cáncer? - Próstata
C14,Pregunta C14.08.21 ¿Qué tipo de cáncer? - Colon/recto
C14,Pregunta C14.09.21 ¿Qué tipo de cáncer? - Pulmón
C14,Pregunta C14.10.21 ¿Qué tipo de cáncer? - OTROS
C14,Pregunta C14.88.21 ¿Qué tipo de cáncer? - NO RESPONDE
C14,Pregunta C14.99.21 ¿Qué tipo de cáncer? - NO SABE
C15,"Pregunta C15.21 En los últimos dos años, ¿ha consultado a un doctor o personal médico sobre su cáncer?"
C16,"Pregunta C16.1.21 Durante los últimos dos años, ¿usted recibió para su(s) cáncer(es) quimioterapia o medicamento?"
C16,"Pregunta C16.2.21 Durante los últimos dos años, ¿usted recibió para su(s) cáncer(es) cirugía o biopsia?"
C16,"Pregunta C16.3.21 Durante los últimos dos años, ¿usted recibió para su(s) cáncer(es) radiación o rayos X?"
C16,"Pregunta C16.4.21 Durante los últimos dos años, ¿usted recibió para su(s) cáncer(es) medicamentos o tratamiento para dolor?"
C16,"Pregunta C16.5.21 Durante los últimos dos años, ¿usted recibió para su(s) cáncer(es) medicamentos o tratamiento para síntomas (dolor, náusea, salpullidos)?"
C16,"Pregunta C16.7.21 Durante los últimos dos años, ¿usted recibió para su(s) cáncer(es) otro tratamiento?"
C16,"Pregunta C16.7A.21 Durante los últimos dos años, ¿usted recibió para su(s) cáncer(es) otro tratamiento? - ESPECIFICA"
