nombre_campo,longitud,tipo,nemónico,catálogo,rango_claves
"PreguntaA31.18¿Cuál diría usted que fue la razón principal por la que regresó…","2","C","a31_18","a31_18","01-08,88,99"
"PreguntaA32.18La última vez que regresó de Estados Unidos a México, ¿diría usted que su salud era...","1","C","a32_18","a32_18","1-5,8,9"
"PreguntaA33B.18Durante el tiempo que estuvo en Estados Unidos, ¿alguna vez se contribuyó al sistema de seguridad social (social security) en algún trabajo, con su nombre o el de otra persona?","1","C","a33b_18","a33b_18","1-4,8,9"
"PreguntaA33C.18Actualmente, ¿cuenta usted con permiso de residencia permanente o es ciudadano de Estados Unidos?","1","C","a33c_18","a33c_18","1-3,8,9"
"PreguntaA35A.18¿Asiste usted a servicios religiosos?","1","C","a35a_18","a35a_18","1,2,8,9"
"PreguntaA35B.18 ¿Con qué frecuencia participa usted en las actividades organizadas por la iglesia?","1","C","a35b_18","a35b_18","1-3,8,9"
"PreguntaA36.18¿Qué tan importante es la religión en su vida?, ¿diría que es...","1","C","a36_18","a36_18","1-3,8,9"
"PreguntaA37.18En los últimos 2 años, ¿ha hecho algún trabajo voluntario para organizaciones religiosas, educativas, de caridad o para la comunidad?","1","C","a37_18","a37_18","1,2,8,9"
"PreguntaA38.1.18 En los últimos 2 años, ¿como cuántas horas le dedicó usted a ese trabajo voluntario?","4","C","a38_1_18","a38_1_18","0001-0960,8888,9999"
"PreguntaA38.2.18 En los últimos 2 años, ¿como cuántas horas le dedicó usted a ese trabajo voluntario?","1","C","a38_2_18","a38_2_18","1-4,8,9"
"PreguntaA39.18¿Diría usted que fueron…","1","C","a39_18","a39_18","1-3,8,9"
"PreguntaA40.18A continuación, le voy a mostrar unas figuras de cuerpo. SI ENTREVISTADO ES","1","C","a40_18","a40_18","1,2"
"PreguntaA40A.18¿Qué figura considera que se parece a usted en este momento?","1","C","a40a_18","a40a_18","A-R,7,8,9"
"PreguntaA41.18¿Falleció alguno de sus hijos(as)?","1","C","a41_18","a41_18","1,2,8,9"
"PreguntaA41.1.18¿Falleció alguno de sus hijos(as)?","1","C","a41_1_18","a41_1_18","0,1"
"PreguntaA41.2.18¿Falleció alguno de sus hijos(as)?","1","C","a41_2_18","a41_2_18","0,1"
"PreguntaA41.3.18¿Falleció alguno de sus hijos(as)?","1","C","a41_3_18","a41_3_18","0,1"
"PreguntaA41.4.18¿Falleció alguno de sus hijos(as)?","1","C","a41_4_18","a41_4_18","0,1"
"PreguntaA42.18¿Se hizo cargo de cuidar a algún familiar enfermo?","1","C","a42_18","a42_18","1,2,8,9"
"PreguntaA42.1.18¿Se hizo cargo de cuidar a algún familiar enfermo?","1","C","a42_1_18","a42_1_18","0,1"
"PreguntaA42.2.18¿Se hizo cargo de cuidar a algún familiar enfermo?","1","C","a42_2_18","a42_2_18","0,1"
"PreguntaA42.3.18¿Se hizo cargo de cuidar a algún familiar enfermo?","1","C","a42_3_18","a42_3_18","0,1"
"PreguntaA42.4.18¿Se hizo cargo de cuidar a algún familiar enfermo?","1","C","a42_4_18","a42_4_18","0,1"
"PreguntaA43.18¿Ocurrió algún desastre (como un huracán, terremoto, tornado, inundación, incendio), que afectó su vivienda?","1","C","a43_18","a43_18","1,2,8,9"
"PreguntaA43.1.18¿Ocurrió algún desastre (como un huracán, terremoto, tornado, inundación, incendio), que afectó su vivienda?","1","C","a43_1_18","a43_1_18","0,1"
"PreguntaA43.2.18¿Ocurrió algún desastre (como un huracán, terremoto, tornado, inundación, incendio), que afectó su vivienda?","1","C","a43_2_18","a43_2_18","0,1"
"PreguntaA43.3.18¿Ocurrió algún desastre (como un huracán, terremoto, tornado, inundación, incendio), que afectó su vivienda?","1","C","a43_3_18","a43_3_18","0,1"
"PreguntaA43.4.18¿Ocurrió algún desastre (como un huracán, terremoto, tornado, inundación, incendio), que afectó su vivienda?","1","C","a43_4_18","a43_4_18","0,1"
"PreguntaA44.18¿Sufrió algún accidente, fue víctima de un crimen, o algún otro evento que afectó su salud o situación familiar?","1","C","a44_18","a44_18","1,2,8,9"
"PreguntaA44.1.18¿Sufrió algún accidente, fue víctima de un crimen, o algún otro evento que afectó su salud o situación familiar?","1","C","a44_1_18","a44_1_18","0,1"
"PreguntaA44.2.18¿Sufrió algún accidente, fue víctima de un crimen, o algún otro evento que afectó su salud o situación familiar?","1","C","a44_2_18","a44_2_18","0,1"
"PreguntaA44.3.18¿Sufrió algún accidente, fue víctima de un crimen, o algún otro evento que afectó su salud o situación familiar?","1","C","a44_3_18","a44_3_18","0,1"
"PreguntaA44.4.18¿Sufrió algún accidente, fue víctima de un crimen, o algún otro evento que afectó su salud o situación familiar?","1","C","a44_4_18","a44_4_18","0,1"
"PreguntaA45.18¿Tuvo alguna pérdida (como por salud o su empleo o el de sus hijos o cónyuge) que afectó su situación financiera?","1","C","a45_18","a45_18","1,2,8,9"
"PreguntaA45.1.18¿Tuvo alguna pérdida (como por salud o su empleo o el de sus hijos o cónyuge) que afectó su situación financiera?","1","C","a45_1_18","a45_1_18","0,1"
"PreguntaA45.2.18¿Tuvo alguna pérdida (como por salud o su empleo o el de sus hijos o cónyuge) que afectó su situación financiera?","1","C","a45_2_18","a45_2_18","0,1"
"PreguntaA45.3.18¿Tuvo alguna pérdida (como por salud o su empleo o el de sus hijos o cónyuge) que afectó su situación financiera?","1","C","a45_3_18","a45_3_18","0,1"
"PreguntaA45.4.18¿Tuvo alguna pérdida (como por salud o su empleo o el de sus hijos o cónyuge) que afectó su situación financiera?","1","C","a45_4_18","a45_4_18","0,1"
"PreguntaAA1.18ENTREVISTADOR: REGISTRA SI EL INFORMANTE ES:","1","C","aa1_18","aa1_18","1,2"
"PreguntaAA2.1.18¿En qué día, mes y año nació usted?","2","C","aa2_1_18","aa2_1_18","01-31,99"
"PreguntaAA2.2.18¿En qué día, mes y año nació usted?","2","C","aa2_2_18","aa2_2_18","01-12,99"
"PreguntaAA2.3.18¿En qué día, mes y año nació usted?","4","C","aa2_3_18","aa2_3_18","1931-2018,9999"
"PreguntaAA4A1.18¿Cuál es el último año o grado que usted aprobó en la escuela?","2","C","aa4a1_18","aa4a1_18","00-08,88,99"
"PreguntaAA4A2.18¿Cuál es el último año o grado que usted aprobó en la escuela?","1","C","aa4a2_18","aa4a2_18","0-7,8,9"
"PreguntaAA4B.18¿Sabe leer y escribir un recado?","1","C","aa4b_18","aa4b_18","1,2,8,9"
"PreguntaAA5.18¿Sabe contar del 1 al 10?","1","C","aa5_18","aa5_18","1,2,8,9"
"PreguntaAA6.18(Antes de cumplir 10 años), ¿alguna vez vivió en la misma casa o barrio con su abuela(o) por más de 6 meses?","1","C","aa6_18","aa6_18","1,2,8,9"
"PreguntaAA7.18(Antes de cumplir 10 años), ¿tuvo usted un problema serio de salud que afectó sus actividades normales por un mes o más?","1","C","aa7_18","aa7_18","1,2,8,9"
"PreguntaAA8A1.18(Antes de cumplir 10 años), ¿tuvo usted alguna de las siguientes enfermedades o padecimientos?","1","C","aa8a1_18","aa8a1_18","1,2,8,9"
"PreguntaAA8A2.18(Antes de cumplir 10 años), ¿tuvo usted alguna de las siguientes enfermedades o padecimientos?","1","C","aa8a2_18","aa8a2_18","1,2,8,9"
"PreguntaAA8A3.18(Antes de cumplir 10 años), ¿tuvo usted alguna de las siguientes enfermedades o padecimientos?","1","C","aa8a3_18","aa8a3_18","1,2,8,9"
"PreguntaAA8A4.18(Antes de cumplir 10 años), ¿tuvo usted alguna de las siguientes enfermedades o padecimientos?","1","C","aa8a4_18","aa8a4_18","1,2,8,9"
"PreguntaAA8A5.18(Antes de cumplir 10 años), ¿tuvo usted alguna de las siguientes enfermedades o padecimientos?","1","C","aa8a5_18","aa8a5_18","1,2,8,9"
"PreguntaAA8B.18(Antes de cumplir 10 años), la mayor parte del tiempo ¿qué tipo de trabajo realizó su padre o tutor…","2","C","aa8b_18","aa8b_18","01-09,88,99"
"PreguntaAA8C.18(Antes de cumplir 10 años), ¿comparado con otros niños de su edad, cómo era su salud?","1","C","aa8c_18","aa8c_18","1-3,8,9"
"PreguntaAA9A.18Antes de cumplir 10 años: ¿Su vivienda tenía excusado dentro de la vivienda?","1","C","aa9a_18","aa9a_18","1,2,8,9"
"PreguntaAA9B.18Antes de cumplir 10 años: ¿Su vivienda tenía electricidad?","1","C","aa9b_18","aa9b_18","1,2,8,9"
"PreguntaAA9C.18Antes de cumplir 10 años: ¿Se dormía generalmente con hambre?","1","C","aa9c_18","aa9c_18","1,2,8,9"
"PreguntaAA9D.18Antes de cumplir 10 años: ¿Usaba zapatos o algún otro tipo de calzado regularmente?","1","C","aa9d_18","aa9d_18","1,2,8,9"
"PreguntaAA9E.18Antes de cumplir 10 años: ¿Usted o alguno de sus hermanos tuvo que dejar la escuela para ayudar a sus padres?","1","C","aa9e_18","aa9e_18","1,2,8,9"
"PreguntaAA9F.18Antes de cumplir 10 años: ¿Usted o algún miembro de su familia dormía en el mismo cuarto que se usaba para cocinar?","1","C","aa9f_18","aa9f_18","1,2,8,9"
"PreguntaAA9G.18Antes de cumplir 10 años: ¿Usted o su familia recibieron ayuda de familiares debido a problemas económicos?","1","C","aa9g_18","aa9g_18","1,2,8,9"
"PreguntaAA9H.18Antes de cumplir 10 años: ¿Alguno de sus padres o tutores fumaba?","1","C","aa9h_18","aa9h_18","1,2,8,9"
"PreguntaAA9I.18Antes de cumplir 10 años: ¿Alguien más en su hogar fumaba?","1","C","aa9i_18","aa9i_18","1,2,8,9"
"PreguntaAA10.18¿Actualmente usted…","1","C","aa10_18","aa10_18","1-5,7"
"PreguntaAA11.1.18¿En qué año o a qué edad terminó su último(a) matrimonio (unión)?","4","C","aa11_1_18","aa11_1_18","1986-2018,8888, 9999"
"PreguntaAA11.2.18¿En qué año o a qué edad terminó su último(a) matrimonio (unión)?","3","C","aa11_2_18","aa11_2_18","016-053,888,999"
"PreguntaAA12.1.18¿En qué año o a qué edad comenzó ese matrimonio (unión)?","4","C","aa12_1_18","aa12_1_18","1944-2018,8888,9999"
"PreguntaAA12.2.18¿En qué año o a qué edad comenzó ese matrimonio (unión)?","3","C","aa12_2_18","aa12_2_18","012-088,888,999"
"PreguntaAA13A.18¿Antes de su (matrimonio actual/último matrimonio/unión actual/última unión) tuvo usted otra unión o matrimonio?","1","C","aa13a_18","aa13a_18","1,2,8,9"
"PreguntaAA13B.18¿Cuál era su estado conyugal antes de su unión actual…","1","C","aa13b_18","aa13b_18","1-6,8,9"
"PreguntaAA13C.18¿Este matrimonio (unión) se terminó por…","1","C","aa13c_18","aa13c_18","1-3,8,9"
"PreguntaAA14.18Sin contar la unión actual (última unión), ¿cuántas veces estuvo usted unido(a) o casado(a)?","2","C","aa14_18","aa14_18","00-23,88,99"
"PreguntaAA15.1.18¿En qué año o a qué edad comenzó su primera unión o matrimonio?","4","C","aa15_1_18","aa15_1_18","1951-2013,8888,9999"
"PreguntaAA15.2.18¿En qué año o a qué edad comenzó su primera unión o matrimonio?","3","C","aa15_2_18","aa15_2_18","012-060,888,999"
"PreguntaAA16.18¿Ésta fue…","1","C","aa16_18","aa16_18","1,2,8,9"
"PreguntaAA17.18¿Este(a) matrimonio(unión) se terminó por…","1","C","aa17_18","aa17_18","1-3,8,9"
"PreguntaAA18.1.18¿En qué año o a qué edad terminó este(a) matrimonio (unión)?","4","C","aa18_1_18","aa18_1_18","1967-2018,8888,9999"
"PreguntaAA18.2.18¿En qué año o a qué edad terminó este(a) matrimonio (unión)?","3","C","aa18_2_18","aa18_2_18","013-099,888,999"
"PreguntaAA19.18¿Cuántos hijos e hijas que nacieron vivos ha tenido usted?","2","C","aa19_18","aa19_18","00,01-26,88,99"
"PreguntaAA20.18De los hijos e hijas que nacieron vivos, ¿cuántos viven todavía?","2","C","aa20_18","aa20_18","00-14,88,96,99"
"PreguntaAA21.18¿Como cuántos años ha vivido en esta localidad o siempre ha vivido aquí?","2","C","aa21_18","aa21_18","00,01,02-87,88,89-96,97,98,99"
"PreguntaAA25.18Sin contar vacaciones o visitas cortas, ¿alguna vez ha trabajado o vivido usted en Estados Unidos?","1","C","aa25_18","aa25_18","1,2,7,8,9"
"PreguntaAA26.1.18Piense por favor en la primera estadía en Estados Unidos, aproximadamente ¿en qué año o a qué edad se fue a Estados Unidos?","4","C","aa26_1_18","aa26_1_18","1966-2016,7777,8888,9999"
"PreguntaAA26.2.18Piense por favor en la primera estadía en Estados Unidos, aproximadamente ¿en qué año o a qué edad se fue a Estados Unidos?","3","C","aa26_2_18","aa26_2_18","001-050,999"
"PreguntaAA27.18¿Cuál diría usted que fue la razón principal por la que fue a Estados Unidos?","1","C","aa27_18","aa27_18","1-9"
"PreguntaAA28.18Para esa primera estadía en Estados Unidos, cuando usted salió de la República Mexicana, ¿conocía a alguien que le ayudaría a establecerse en el lugar a donde fue?","1","C","aa28_18","aa28_18","1-3,8,9"
"PreguntaAA30.1.18Aproximadamente ¿en qué año o a qué edad regresó de Estados Unidos en esa ocasión?","4","C","aa30_1_18","aa30_1_18","1977-2017,8888,9999"
"PreguntaAA30.2.18Aproximadamente ¿en qué año o a qué edad regresó de Estados Unidos en esa ocasión?","3","C","aa30_2_18","aa30_2_18","004-099,888,999"
"PreguntaAA31B.18En total, ¿como cuántos años ha trabajado o vivido usted en Estados Unidos?","2","C","aa31b_18","aa31b_18","01,02-46,88,99"
"PreguntaAA31C.18Piense por favor en la estadía más larga en Estados Unidos, la mayor parte del tiempo, ¿qué tipo de trabajo realizó usted…","2","C","aa31c_18","aa31c_18","01-08,88,99"
"PreguntaAA31D.18Para esa estadía en Estados Unidos, ¿generalmente usted enviaba dinero a su familia en México?","1","C","aa31d_18","aa31d_18","1,2"
"PreguntaAA31H1.18¿Su intención era que ese dinero se usara… como ahorro para cuando regresara a México?","1","C","aa31h1_18","aa31h1_18","0,1"
"PreguntaAA31H2.18¿Su intención era que ese dinero se usara… para mantener a su familia?","1","C","aa31h2_18","aa31h2_18","0,1"
"PreguntaAA31H3.18¿Su intención era que ese dinero se usara… para mejorar su propiedad en México?","1","C","aa31h3_18","aa31h3_18","0,1"
"PreguntaAA31H4.18¿Su intención era que ese dinero se usara… para comprar muebles u otras cosas caras en la casa?","1","C","aa31h4_18","aa31h4_18","0,1"
"PreguntaAA31H5.18¿Su intención era que ese dinero se usara… ?","1","C","aa31h5_18","aa31h5_18","0,1"
"PreguntaAA31H8.18¿Su intención era que ese dinero se usara… ?","1","C","aa31h8_18","aa31h8_18","0,1"
"PreguntaAA31H9.18¿Su intención era que ese dinero se usara… ?","1","C","aa31h9_18","aa31h9_18","0,1"
"PreguntaAA32A.18Ahora piense acerca de la última vez que fue a trabajar o a vivir en Estados Unidos, ¿cuál diría usted que fue la razón principal por la que fue a Estados Unidos…","1","C","aa32a_18","aa32a_18","1 - 9"
"PreguntaAA32B1.18Por favor piense acerca de la última vez que regresó de Estados Unidos después de que vivió allá, ¿en qué año o qué edad tenía usted cuando regresó?","4","C","aa32b1_18","aa32b1_18","1977-2018,8888, 9999"
"PreguntaAA32B2.18Por favor piense acerca de la última vez que regresó de Estados Unidos después de que vivió allá, ¿en qué año o qué edad tenía usted cuando regresó?","3","C","aa32b2_18","aa32b2_18","010-068,099"
"PreguntaAA32C01.18Ahora piense acerca de la última vez que regresó de Estados Unidos a México, ¿se regresó porque… usted estaba enfermo?","1","C","aa32c01_18","aa32c01_18","0,1"
"PreguntaAA32C02.18Ahora piense acerca de la última vez que regresó de Estados Unidos a México, ¿se regresó porque… usted extrañaba a su familia?","1","C","aa32c02_18","aa32c02_18","0,1"
"PreguntaAA32C03.18Ahora piense acerca de la última vez que regresó de Estados Unidos a México, ¿se regresó porque… le fue difícil permanecer en Estados Unidos?","1","C","aa32c03_18","aa32c03_18","0,1"
"PreguntaAA32C04.18Ahora piense acerca de la última vez que regresó de Estados Unidos a México, ¿se regresó porque… era muy caro quedarse en Estados Unidos?","1","C","aa32c04_18","aa32c04_18","0,1"
"PreguntaAA32C05.18Ahora piense acerca de la última vez que regresó de Estados Unidos a México, ¿se regresó porque… no ganaba suficiente allá?","1","C","aa32c05_18","aa32c05_18","0,1"
"PreguntaAA32C06.18Ahora piense acerca de la última vez que regresó de Estados Unidos a México, ¿se regresó porque… tuvo problemas relacionados con migración?","1","C","aa32c06_18","aa32c06_18","0,1"
"PreguntaAA32C07.18Ahora piense acerca de la última vez que regresó de Estados Unidos a México, ¿se regresó porque… tuvo problemas familiares en México?","1","C","aa32c07_18","aa32c07_18","0,1"
"PreguntaAA32C08.18Ahora piense acerca de la última vez que regresó de Estados Unidos a México, ¿se regresó porque…?","1","C","aa32c08_18","aa32c08_18","0,1"
"PreguntaAA32C88.18Ahora piense acerca de la última vez que regresó de Estados Unidos a México, ¿se regresó porque…?","1","C","aa32c88_18","aa32c88_18","0,1"
"PreguntaAA32C99.18Ahora piense acerca de la última vez que regresó de Estados Unidos a México, ¿se regresó porque…?","1","C","aa32c99_18","aa32c99_18","0,1"
"PreguntaAA32D.18REGISTRA SI MARCÓ MÁS DE UNA RAZÓN EN AA.32c","1","C","aa32d_18","aa32d_18","1,2"
"PreguntaAA32E.18¿Cuál diría usted que fue la razón principal por la que regresó?","2","C","aa32e_18","aa32e_18","01-08,88,99"
"PreguntaAA32F.18La última vez que regresó de Estados Unidos a México, diría usted que su salud era…","1","C","aa32f_18","aa32f_18","1-5,8,9"
"PreguntaAA33.18Durante el tiempo que estuvo en Estados Unidos, ¿alguna vez se contribuyó al sistema de seguridad social (social security) en algún trabajo, con su nombre o el de otra persona?","1","C","aa33_18","aa33_18","1-4,8,9"
"PreguntaAA34.18Actualmente ¿cuenta usted con permiso de residencia permanente o es ciudadano de Estados Unidos?","1","C","aa34_18","aa34_18","1-3,8,9"
"PreguntaAA35.18¿Alguna vez tuvo que criar a sus hijos pequeños sin que estuviera con usted su cónyuge?","1","C","aa35_18","aa35_18","1-3,8,9"
"PreguntaAA36.18En total, ¿como por cuánto tiempo los crió sin su cónyuge?","2","C","aa36_18","aa36_18","01,02-38,77,88,99"
"PreguntaAA37A.18¿Habla usted inglés?","1","C","aa37a_18","aa37a_18","1-3,8,9"
"PreguntaAA37B.18¿Habla usted alguna lengua indígena?","1","C","aa37b_18","aa37b_18","1,2,8,9"
"PreguntaAA38A.18¿Asiste usted a servicios religiosos?","1","C","aa38a_18","aa38a_18","1,2,8,9"
"PreguntaAA38B.18¿Con qué frecuencia participa usted en las actividades organizadas por la iglesia?","1","C","aa38b_18","aa38b_18","1-3,8,9"
"PreguntaAA39.18¿Qué tan importante es la religión en su vida? ¿Diría que es…","1","C","aa39_18","aa39_18","1-3,8,9"
